Date,Amount,Description,Category
02/15/2019,4.59,Grocery Store,Groceries
02/15/2019,60,Power Company,Utilities
02/16/2019,32.75,American Tavern,Restaurants
02/16/2019,37.45,Amazon,Shopping
02/19/2019,574.84,Credit Card Payment,Credit Card Payment
02/19/2019,35,City Water Charges,Utilities
02/20/2019,75,State Farm,Auto Insurance
02/20/2019,30,Barbershop,Haircut
02/21/2019,292.54,Credit Card Payment,Credit Card Payment
02/21/2019,46.96,Grocery Store,Groceries
02/25/2019,33.8,BP,Gas & Fuel
02/25/2019,75,Internet Service Provider,Internet
02/27/2019,25.77,Roadside Diner,Restaurants
02/28/2019,32.07,Grocery Store,Groceries
03/01/2019,13.09,Amazon,Shopping
03/04/2019,92.04,Grocery Store,Groceries
03/04/2019,1100,Mortgage Payment,Mortgage & Rent
03/04/2019,11.76,Netflix,Television
03/05/2019,7,Fancy Restaurant,Restaurants
03/06/2019,491.86,Credit Card Payment,Credit Card Payment
03/08/2019,34.08,BP,Gas & Fuel
03/08/2019,27.17,Amazon,Shopping
03/08/2019,49,Gas Company,Utilities
03/09/2019,10.69,Spotify,Music
03/12/2019,65,Phone Company,Mobile Phone
03/12/2019,3.02,Bakery Place,Restaurants
03/14/2019,305.27,Credit Card Payment,Credit Card Payment
03/14/2019,301.79,Credit Card Payment,Credit Card Payment
03/14/2019,8,Brunch Restaurant,Restaurants
03/15/2019,60,Power Company,Utilities
03/18/2019,320.99,Best Buy,Electronics & Software
03/18/2019,16.23,Grocery Store,Groceries
03/19/2019,13.84,Amazon,Shopping
03/19/2019,35,City Water Charges,Utilities
03/20/2019,75,State Farm,Auto Insurance
03/22/2019,37.51,BP,Gas & Fuel
03/23/2019,5.2,Starbucks,Coffee Shops
03/25/2019,75,Internet Service Provider,Internet
03/26/2019,16.04,Amazon,Shopping
03/27/2019,4.46,Grocery Store,Groceries
03/30/2019,12.84,Starbucks,Coffee Shops
04/01/2019,1552.65,Credit Card Payment,Credit Card Payment
04/01/2019,13.09,Amazon,Shopping
04/02/2019,1100,Mortgage Payment,Mortgage & Rent
04/04/2019,5.64,Grocery Store,Groceries
04/04/2019,35.9,Amazon,Shopping
04/04/2019,11.76,Netflix,Television
04/06/2019,27.54,Amazon,Shopping
04/08/2019,30,Gas Company,Utilities
04/09/2019,436.75,Credit Card Payment,Credit Card Payment
04/09/2019,10.7,Grocery Store,Groceries
04/09/2019,30,Barbershop,Haircut
04/09/2019,10.69,Spotify,Music
04/10/2019,65,Phone Company,Mobile Phone
04/12/2019,44.93,Best Buy,Electronics & Software
04/12/2019,41.34,Grocery Store,Groceries
04/13/2019,38.94,QuikTrip,Gas & Fuel
04/13/2019,16.87,Grocery Store,Groceries
04/13/2019,20.64,Vietnamese Restaurant,Restaurants
04/15/2019,60,Power Company,Utilities
04/16/2019,35,City Water Charges,Utilities
04/18/2019,75,State Farm,Auto Insurance
04/19/2019,604.32,Credit Card Payment,Credit Card Payment
04/19/2019,10.89,Grocery Store,Groceries
04/22/2019,64.52,Greek Restaurant,Restaurants
04/23/2019,29.56,Hardware Store,Home Improvement
04/25/2019,75,Internet Service Provider,Internet
04/27/2019,14.74,American Tavern,Restaurants
04/29/2019,268.96,Credit Card Payment,Credit Card Payment
04/29/2019,5.64,Grocery Store,Groceries
04/30/2019,39.08,BP,Gas & Fuel
05/01/2019,13.09,Amazon,Shopping
05/02/2019,1100,Mortgage Payment,Mortgage & Rent
05/03/2019,758.07,Credit Card Payment,Credit Card Payment
05/04/2019,13.9,Netflix,Television
05/06/2019,16.94,Amazon,Shopping
05/07/2019,38.56,Amazon,Shopping
05/09/2019,331.69,Best Buy,Electronics & Software
05/09/2019,10.69,Spotify,Music
05/09/2019,3.2,Target,Shopping
05/09/2019,30,Gas Company,Utilities
05/10/2019,21.39,Best Buy,Electronics & Software
05/10/2019,65,Phone Company,Mobile Phone
05/13/2019,480.88,Credit Card Payment,Credit Card Payment
05/13/2019,35.24,QuikTrip,Gas & Fuel
05/13/2019,98.19,Fancy Restaurant,Restaurants
05/13/2019,23.11,Greek Restaurant,Restaurants
05/14/2019,2.02,Grocery Store,Groceries
05/15/2019,60,Power Company,Utilities
05/17/2019,35,City Water Charges,Utilities
05/20/2019,75,State Farm,Auto Insurance
05/20/2019,415.47,Credit Card Payment,Credit Card Payment
05/20/2019,32.53,American Tavern,Restaurants
05/24/2019,27.96,Hardware Store,Home Improvement
05/24/2019,8,Brunch Restaurant,Restaurants
05/25/2019,36.76,QuikTrip,Gas & Fuel
05/25/2019,30.99,Hardware Store,Home Improvement
05/27/2019,34.33,Mexican Restaurant,Restaurants
05/28/2019,765.68,Credit Card Payment,Credit Card Payment
05/30/2019,75,Internet Service Provider,Internet
05/30/2019,34.82,American Tavern,Restaurants
06/01/2019,13.09,Amazon,Shopping
06/03/2019,2.75,Starbucks,Coffee Shops
06/03/2019,1100,Mortgage Payment,Mortgage & Rent
06/04/2019,30,Barbershop,Haircut
06/04/2019,13.9,Netflix,Television
06/05/2019,23,Grocery Store,Groceries
06/05/2019,23.24,Mexican Restaurant,Restaurants
06/06/2019,3.75,Starbucks,Coffee Shops
06/06/2019,5.64,Grocery Store,Groceries
06/07/2019,458.56,Credit Card Payment,Credit Card Payment
06/07/2019,30,Gas Company,Utilities
06/09/2019,10.69,Spotify,Music
06/12/2019,65,Phone Company,Mobile Phone
06/13/2019,152.72,Credit Card Payment,Credit Card Payment
06/14/2019,10.69,Grocery Store,Groceries
06/15/2019,33.16,BP,Gas & Fuel
06/17/2019,35,City Water Charges,Utilities
06/17/2019,60,Power Company,Utilities
06/18/2019,41.83,Shell,Gas & Fuel
06/19/2019,75,State Farm,Auto Insurance
06/20/2019,375.26,Credit Card Payment,Credit Card Payment
06/21/2019,100.68,Credit Card Payment,Credit Card Payment
06/28/2019,30.64,BP,Gas & Fuel
06/30/2019,75,Internet Service Provider,Internet
07/01/2019,7,Starbucks,Coffee Shops
07/01/2019,99.47,Grocery Store,Groceries
07/01/2019,24.97,Hawaiian Grill,Restaurants
07/01/2019,24,Thai Restaurant,Restaurants
07/01/2019,13.09,Amazon,Shopping
07/02/2019,229.9,Hardware Store,Home Improvement
07/02/2019,1100,Mortgage Payment,Mortgage & Rent
07/04/2019,13.9,Netflix,Television
07/06/2019,92.98,Grocery Store,Groceries
07/06/2019,23.26,Greek Restaurant,Restaurants
07/07/2019,103.14,Hardware Store,Home Improvement
07/08/2019,305.28,Credit Card Payment,Credit Card Payment
07/08/2019,220.08,Credit Card Payment,Credit Card Payment
07/09/2019,10.69,Spotify,Music
07/10/2019,65,Phone Company,Mobile Phone
07/10/2019,30,Gas Company,Utilities
07/15/2019,87.14,Grocery Store,Groceries
07/16/2019,89.99,Amazon,Shopping
07/16/2019,60,Power Company,Utilities
07/17/2019,35,City Water Charges,Utilities
07/18/2019,75,State Farm,Auto Insurance
07/18/2019,814.5,Credit Card Payment,Credit Card Payment
07/18/2019,36.42,BP,Gas & Fuel
07/18/2019,29.83,Grocery Store,Groceries
